,Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude,Country
73,Greater Accra,Accra Metropolitan,Castle Drive Clinic,Clinic,Osu,Private,5.54853,-0.18691,Ghana
74,Greater Accra,Accra Metropolitan,Cathedral Clinic & Laboratory,Clinic,High Street,Private,5.53963,-0.2077,Ghana
75,Greater Accra,Accra Metropolitan,Cedar Clinic,Clinic,Abelemkpe,Private,5.60708,-0.21688,Ghana
76,Greater Accra,Accra Metropolitan,Central Achimota Clinic,Clinic,Achimota,Private,5.62316,-0.23211,Ghana
77,Greater Accra,Tema Metropolitan,Central Clinic,Clinic,Tema Community 1,Private,5.64632,-3.00E-05,Ghana
78,Greater Accra,Accra Metropolitan,Clecom Memorial Specialist Hospital,Hospital,Dzorwulu,Private,5.61495,-0.19474,Ghana
79,Greater Accra,Accra Metropolitan,Club Road Clinic,Clinic,Opera Square,Private,5.54472,-0.20639,Ghana
80,Greater Accra,Accra Metropolitan,Beth's Clinic,Clinic,Lartebiokorshie (near Nkruma flats),Private,5.55045,-0.23382,Ghana
81,Greater Accra,Tema Metropolitan,Caiquo Hospital,Hospital,Tema Community 10,Private,5.65332,-0.02255,Ghana
82,Greater Accra,Tema Metropolitan,Calvary Cross Clinic,Clinic,Tema Community 5,Private,5.64277,-0.01896,Ghana
83,Greater Accra,Accra Metropolitan,Central Dansoman Clinic,Clinic,Dansoman,Private,5.5521,-0.26226,Ghana
84,Greater Accra,Accra Metropolitan,Central Medical Lab,Clinic,Lartebiokoshie (k'shie mamprobi rd),Private,5.54859,-0.2403,Ghana
85,Greater Accra,Accra Metropolitan,Christ The King Mat Home & Clinic,Maternity Home,Bubuashie (Atico last stop),Private,5.57994,-0.24725,Ghana
86,Greater Accra,Accra Metropolitan,Christian Medical Centre,Hospital,Nungua,NGO,5.60656,-0.07769,Ghana
87,Greater Accra,Accra Metropolitan,Cocoa Clinic,Hospital,North Kaneshie,Government,5.57172,-0.2357,Ghana
88,Greater Accra,Accra Metropolitan,Community clinic,Clinic,Abossey Okai,Private,5.57172,-0.2357,Ghana
89,Greater Accra,Tema Metropolitan,Binney Medical Centre,Hospital,Tema Community 2,Private,5.63344,-0.00936,Ghana
90,Greater Accra,Accra Metropolitan,Blessings Clinic,Hospital,Tesano,Private,5.59917,-0.2325,Ghana
91,Greater Accra,Ga West,CDH Weija Clinic,Clinic,Marcathy Hill Junction,Private,5.5656,-0.28957,Ghana
92,Greater Accra,Tema Metropolitan,Crystal Eye Clinic,Clinic,Adenta Estate (Housing Down),Private,5.70647,-0.14702,Ghana
93,Greater Accra,Tema Metropolitan,Cocoa Processing Clinic,Clinic,Tema Heavy Industrial Town,Government,5.65744,0.00246,Ghana
94,Greater Accra,Accra Metropolitan,Community Clinic,Clinic,Abossey Okai (near Mosque),Private,5.55828,-0.23133,Ghana
95,Greater Accra,Accra Metropolitan,Community Clinic & Maternity Home,Maternity Home,Glefe (Behing the largoon),Private,5.51994,-0.27101,Ghana
96,Greater Accra,Tema Metropolitan,Crocodile Matchette Clinic,Clinic,Tema,Government,5.66642,-0.00032,Ghana
97,Greater Accra,Ga East,Danfa Health Centre,Health Centre,Danfa,Private,5.78942,-0.15948,Ghana
98,Greater Accra,Dangme East,Dangme East District Health Directorate,District Health Centre,Ada,Government,5.78469,0.62763,Ghana
99,Greater Accra,Dangme East,Dangme East District Hospital,District Health Centre,Ada,Private,5.88888,0.56949,Ghana
100,Greater Accra,Dangme West,Dangme West District Health Directorate,District Health Centre,Dodowa,Private,5.8855,-0.09255,Ghana
101,Greater Accra,Accra Metropolitan,Dansoman Health Centre,Clinic,Dansoman,Government,5.56125,-0.26,Ghana
102,Greater Accra,Tema Metropolitan,Darben Clinic,Hospital,Ashaiman,Private,5.6831,0.03603,Ghana
103,Greater Accra,Dangme West,Dawhenya  Clinic,Clinic,Dawhenya,Private,5.76708,0.05434,Ghana
104,Greater Accra,Tema Metropolitan,Dede Oforiwaa Tetteh Clinic,Clinic,Kpone Bawaleshi,Private,5.85596,-0.10975,Ghana
105,Greater Accra,Accra Metropolitan,Delta Clinic (Korle-bu behind mobil filing station),Clinic,Korle-bu,Private,5.53472,-0.22899,Ghana
106,Greater Accra,Tema Metropolitan,Dental Care Clinic,Clinic,Sakumano Estate,Private,5.62397,-0.05997,Ghana
107,Greater Accra,Tema Metropolitan,Dental Clinic,Clinic,Tema Community 8,Private,5.66877,-0.01302,Ghana
108,Greater Accra,Accra Metropolitan,Derban Clinic,Clinic,Dzorwulu,Private,5.61413,-0.21226,Ghana
109,Greater Accra,Ga West,Deseret Hospital,Hospital,Antiaku (near north kwashieman),Private,5.60821,-0.27876,Ghana
110,Greater Accra,Accra Metropolitan,Dr Eustace Akwei Memorial Clinic,Clinic,Lartebiokorshie,Private,5.54738,-0.24094,Ghana
111,Greater Accra,Accra Metropolitan,Dua Clinic & Lab,Clinic,Asylum Down,Private,5.57207,-0.20247,Ghana
112,Greater Accra,Accra Metropolitan,Duala Medical Centre,Clinic,Burma Camp,Private,5.58805,-0.15001,Ghana
113,Greater Accra,Accra Metropolitan,East Legon Clinic,Hospital,East Legon,Private,5.63002,-0.17534,Ghana
114,Greater Accra,Accra Metropolitan,Eden Specialist Hospital,Hospital,North Kaneshie,Private,5.5803,-0.22805,Ghana
115,Greater Accra,Ga West,Ediths Maternity Home,Maternity Home,Medie,Private,5.75781,-0.02641,Ghana
116,Greater Accra,Accra Metropolitan,Efan Victory Clinic,Clinic,Pig Farm (lorry station),Private,5.59848,-0.19858,Ghana
117,Greater Accra,Tema Metropolitan,Einen Medical Centre,Health Centre,Tema Community 2,Private,5.63344,-0.00946,Ghana
118,Greater Accra,Accra Metropolitan,El-Rapha Clinic,Hospital,Mataheko,Private,5.56096,-0.24662,Ghana
119,Greater Accra,Ga West,Eme's Maternity Home & Clinic,Maternity Home,North Kwashieman,Private,5.60656,-0.27205,Ghana
120,Greater Accra,Accra Metropolitan,Emmanuel Eye Clinic,Clinic,East Legon,Private,5.6302,-0.17472,Ghana
121,Greater Accra,Accra Metropolitan,Emmanuel Maternity Home & Clinic,Maternity Home,Awoshie,Private,5.58564,-0.27895,Ghana
122,Greater Accra,Accra Metropolitan,Esidem Medical Centre,Clinic,Maamobi (near market),Private,5.59487,-0.19429,Ghana
123,Greater Accra,Tema Metropolitan,Estate Clinic & Lab,Clinic,Lashibi Community 19,Private,5.65645,-0.06177,Ghana
124,Greater Accra,Tema Metropolitan,Estate Medical Centre,Clinic,Adenta Estate,Private,5.70699,-0.16719,Ghana
125,Greater Accra,Accra Metropolitan,Eye Gye Nyame Clinic,Hospital,Nima (Mallam atta gutter. market road),Private,5.57916,-0.20364,Ghana
126,Greater Accra,Accra Metropolitan,Fahd Al-Marzouq Clinic,Clinic,Nima,NGO,5.58522,-0.19976,Ghana
127,Greater Accra,Accra Metropolitan,Fair Lady Clinic,Clinic,East Legon (towards America house -Social X'tian centre),Private,5.63677,-0.14999,Ghana
128,Greater Accra,Accra Metropolitan,Faith Evangelical Hospital,Hospital,Bubuashie,Private,5.57727,-0.23709,Ghana
129,Greater Accra,Tema Metropolitan,Faith Medical Centre,Clinic,Kpone,Private,5.69593,0.04715,Ghana
130,Greater Accra,Accra Metropolitan,Family Health Hospital,Hospital,Korle-bu (before mortuary turn right to korlebu flats),Private,5.54547,-0.22981,Ghana
131,Greater Accra,Ga West,Fausty Maternity Home,Maternity Home,Horbor,Private,5.68927,-0.42634,Ghana
132,Greater Accra,Accra Metropolitan,Felidan Maternity Home,Maternity Home,Chemuna (Chorkor),Private,5.52571,-0.25049,Ghana
133,Greater Accra,Tema Metropolitan,Fiden Medical Centre (Formerly Eillen's Maternity Home),Clinic,Tema Community 2,Private,5.63682,-0.01062,Ghana
134,Greater Accra,Dangme west,Dodowa Health Centre,Health Centre,Dodowa,Government,5.88556,-0.09225,Ghana
135,Greater Accra,Ga East,Doku Memorial Clinic,Hospital,Madina,Private,5.68042,-0.16565,Ghana
136,Greater Accra,Ga West,Dome Sampah-mang CHPS,CHPS,Dome Sampah-mang,Private,5.71916,-0.36576,Ghana
137,Greater Accra,Dangme West,Ebenezer Clinic,Clinic,Lower Prampram,Private,5.70932,0.11292,Ghana
138,Greater Accra,Accra Metropolitan,Egon German Clinic,Hospital,Abelemkpe,Private,5.61261,-0.21417,Ghana
139,Greater Accra,Accra Metropolitan,El Shadai Mat Home & Clinic,Maternity Home,Nyamekye (Darkuman),Private,5.59793,-0.25534,Ghana
