,Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude,Country
240,Greater Accra,Accra Metropolitan,Mallam Atta Market Clinic,Clinic,Mallam Atta,Private,5.57872,-0.20832,Ghana
241,Greater Accra,Ga West,Mallam Demonstration Clinic,Clinic,Mallam,Private,5.57781,-0.29942,Ghana
242,Greater Accra,Accra Metropolitan,Mamprobi Polyclinic,Polyclinic,Mamprobi,Government,5.53807,-0.24556,Ghana
243,Greater Accra,Ga West,Mamprobi School Dental Clinic,Clinic,Mamprobi (salvation army schls),Private,5.54138,-0.24118,Ghana
244,Greater Accra,Tema Metropolitan,Manko Clinic,Clinic,Tema Fishing Habour,Private,5.64503,0.0132,Ghana
245,Greater Accra,Accra Metropolitan,Manna Mission Hospital,Hospital,Teshie,Private,5.60706,-0.10872,Ghana
246,Greater Accra,Ga West,Margo Maternity Home,Maternity Home,Jei Krodua,Private,5.64608,-0.49304,Ghana
247,Greater Accra,Accra Metropolitan,Martin Memorial Hospital,Hospital,Dzorwulu,Private,5.61023,-0.20448,Ghana
248,Greater Accra,Ga West,Mary's Clinic,Clinic,Chorkor (behind police station),Private,5.528,-0.23733,Ghana
249,Greater Accra,Accra Metropolitan,May Day Clinic,Clinic,Lartebiokorshie,Private,5.54985,-0.24674,Ghana
250,Greater Accra,Accra Metropolitan,May Day Clinic,Clinic,Agbogbloshie,Private,5.55142,-0.21931,Ghana
251,Greater Accra,Accra Metropolitan,May Fair Clinic,Clinic,Lartebiokoshie,Private,5.54628,-0.24244,Ghana
252,Greater Accra,Accra Metropolitan,May's Ear Nose & Throat clinic,Clinic,Lartebiokorshie (Nkrumah flats),Private,5.54734,-0.23324,Ghana
253,Greater Accra,Accra Metropolitan,Medifem Hospital,Hospital,Dzorwulu,Private,5.61284,-0.20209,Ghana
254,Greater Accra,Ga West,Mega Care Clinic,Clinic,North Kaneshie,Private,5.58913,-0.26083,Ghana
255,Greater Accra,Accra Metropolitan,Mercedarian Clinic,Clinic,Osu,Private,5.55526,-0.18007,Ghana
256,Greater Accra,Accra Metropolitan,Midway Clinic Ltd,Hospital,Abofu (Achimota),Private,5.61731,-0.22646,Ghana
257,Greater Accra,Accra Metropolitan,Korle-Bu Midwifery Training School,Institutional Health Centre,Korle-Bu,Government,5.53972,-0.23044,Ghana
258,Greater Accra,Ga East,Mighty Clinic,Clinic,Madina (near market),Private,5.6816,-0.16645,Ghana
259,Greater Accra,Ga East,Modern Atomic Clinic,Hospital,Atomic Road,Private,5.66743,-0.20819,Ghana
260,Greater Accra,Ga East,Mother Love Health Care Cantre,Maternity Home,Adenta,Private,5.71726,-0.16644,Ghana
261,Greater Accra,Accra Metropolitan,Mother's Pride Clinic & Maternity Home,Maternity Home,Mamprobi (off juncion before salvation army),Private,5.54216,-0.24507,Ghana
262,Greater Accra,Accra Metropolitan,Motorway Clinic,Hospital,Abeka Lapas,Private,5.60616,-0.25137,Ghana
263,Greater Accra,Accra Metropolitan,Mt Sinai Clinic,Clinic,Nyamekye (Darkuman),Private,5.60126,-0.25719,Ghana
264,Greater Accra,Accra Metropolitan,N M's Dental Clinic,Clinic,Dzorwulu (junction),Private,5.60828,-0.20689,Ghana
265,Greater Accra,Accra Metropolitan,Mercy Clinic,Hospital,Mataheko,Private,5.56431,-0.24764,Ghana
266,Greater Accra,Accra Metropolitan,Mercy Maternity Home & Clinic,Maternity Home,Agege (Glefe near largoon),Private,5.52609,-0.27449,Ghana
267,Greater Accra,Tema Metropolitan,Meridian Clinic,Clinic,Tema Community 1,Private,5.64543,-0.0072,Ghana
268,Greater Accra,Accra Metropolitan,Mission Clinic,Clinic,Caprice (Near carprice hotel),Private,5.58282,-0.21575,Ghana
269,Greater Accra,Tema Metropolitan,Narh Bita Hospital,Hospital,Tema Community 4,Private,5.65793,-0.01062,Ghana
270,Greater Accra,Tema Metropolitan,Dziram Eye Clinic,Clinic,Baatsona,Private,5.65793,-0.01062,Ghana
271,Greater Accra,Tema Metropolitan,Greehouse Clinic and Diagnostic Centre,Clinic,Spintex road,Private,5.65793,-0.01062,Ghana
272,Greater Accra,Tema Metropolitan,Narh Bita Nursing Training School,Institutional Health Centre,Tema Community 4,Private,5.65793,-0.01062,Ghana
273,Greater Accra,Ga West,Nashwell Clinic,Clinic,Gbawe,Private,5.5772,-0.28721,Ghana
274,Greater Accra,Accra Metropolitan,National Cold Room,Others,Korle-bu,Private,5.53797,-0.23342,Ghana
275,Greater Accra,Accra Metropolitan,Nelleville Clinic,Clinic,Nungua,Private,5.59389,-0.08789,Ghana
276,Greater Accra,Tema Metropolitan,Nelmax Clinic,Clinic,Lashibi Community 20,Private,5.65273,-0.06999,Ghana
277,Greater Accra,Tema Metropolitan,Nestle Clinic,Clinic,Tema,Private,5.67518,-0.00305,Ghana
278,Greater Accra,Accra Metropolitan,New Achimota Clinic,Hospital,New Achimota (mile 7),Private,5.6293,-0.24781,Ghana
279,Greater Accra,Accra Metropolitan,New Cross Clinic,Clinic,Nima,Private,5.58234,-0.1994,Ghana
280,Greater Accra,Tema Metropolitan,New Crystal Clinic,Clinic,Ashaiman,Private,5.68671,-0.03317,Ghana
281,Greater Accra,Tema Metropolitan,New Crystal Clinic,Clinic,Ashaiman,Private,5.68671,-0.03317,Ghana
282,Greater Accra,Tema Metropolitan,New Edem Maternity Home,Maternity Home,Ashaiman (Nii Amui Park {Manannanyo},Private,5.69924,-0.03531,Ghana
283,Greater Accra,Accra Metropolitan,New Town Clinic,Clinic,New Town (Nkasan-Djan junction),Private,5.59122,-0.20621,Ghana
284,Greater Accra,Accra Metropolitan,New Town School Dental Clinic,Clinic,New Town ( school compound),Government,5.58552,-0.21001,Ghana
285,Greater Accra,Accra Metropolitan,New World Dental Clinic,Clinic,Asylum Down,Private,5.56918,-0.20248,Ghana
286,Greater Accra,Ga West,Ngleshie Amanfro Community Health Centre,Clinic,Ngleshie Amamfrom,Private,5.53638,-0.41126,Ghana
287,Greater Accra,Accra Metropolitan,Nightingale Clinic,Hospital,Dansoman (Sahara),Private,5.55031,-0.26737,Ghana
288,Greater Accra,Accra Metropolitan,Nima Government Clinic,Clinic,Nima,Private,5.57771,-0.20008,Ghana
289,Greater Accra,Accra Metropolitan,Nima Highway Specialist Clinic,Clinic,Nima (near Gutter),Private,5.59007,-0.19605,Ghana
290,Greater Accra,Accra Metropolitan,North Kaneshie Maternity Home,Maternity Home,Demond (North Kaneshie),Private,5.58962,-0.2433,Ghana
291,Greater Accra,Ga West,North Kwashieman Clinic,Clinic,North Kwashieman,Private,5.59432,-0.26869,Ghana
292,Greater Accra,Ga East,North Legon Hospital,Hospital,North Legon (off Atomic Energy Road),Private,5.66923,-0.18228,Ghana
293,Greater Accra,Accra Metropolitan,North Ridge Clinic,Hospital,North Ridge,Private,5.57275,-0.19852,Ghana
294,Greater Accra,Accra Metropolitan,North Teshie Clinic & Maternity Home,Clinic,Teshie,Private,5.59709,-0.10302,Ghana
295,Greater Accra,Tema Metropolitan,Nostra Clinic,Clinic,Tema Community 11,Private,5.66398,-0.02705,Ghana
296,Greater Accra,Ga West,Nsakina CHPS,CHPS,Nsakina,Government,5.65177,-0.32388,Ghana
297,Greater Accra,Accra Metropolitan,Nungua Community Clinic,Clinic,Nungua,Private,5.5974,-0.07896,Ghana
298,Greater Accra,Accra Metropolitan,Korle-Bu Nurses Training College,Institutional Health Centre,Korle-Bu,Private,5.54027,-0.23095,Ghana
299,Greater Accra,Accra Metropolitan,Nyaho Medical Centre,Clinic,Airport residential area,Private,5.61486,-0.18514,Ghana
300,Greater Accra,Accra Metropolitan,Nima Clinic,Clinic,Nima,Private,5.57412,-0.19912,Ghana
301,Greater Accra,Dangme West,Nyigbenya Clinic,CHPS,Nugbenya,Private,5.83471,0.21885,Ghana
302,Greater Accra,Tema Metropolitan,Odonkor Clinic,Clinic,Tema Community 8,Private,5.66589,-0.01423,Ghana
303,Greater Accra,Accra Metropolitan,Odorna Clinic,Clinic,Odorna (Adabraka),Private,5.55887,-0.21556,Ghana
304,Greater Accra,Tema Metropolitan,Okanta Memorial Clinic,Clinic,Ashaiman,Private,5.68684,-0.03972,Ghana
305,Greater Accra,Accra Metropolitan,Oman Clinic,Clinic,Kaneshie (Sports Complex),Private,5.57508,-0.22694,Ghana
306,Greater Accra,Tema Metropolitan,Omari Clinic,Clinic,Tema Mataheko,Private,5.77204,-0.00509,Ghana
307,Greater Accra,Accra Metropolitan,Omni Health Care,Clinic,Dzorwulu,Private,5.61647,-0.19249,Ghana
308,Greater Accra,Accra Metropolitan,Opoku Ware Clinic,Hospital,Dansoman,Private,5.56451,-0.27354,Ghana
309,Greater Accra,Accra Metropolitan,Osu Government Maternity Home,Maternity Home,Osu,Private,5.55401,-0.18494,Ghana
310,Greater Accra,Dangme West,Osudoku Health Centre,Clinic,Asutsuare,Private,6.07519,0.19468,Ghana
311,Greater Accra,Ga West,Osuwem Community Based Clinic (New site),Clinic,Osuwem,Government,6.03171,0.17526,Ghana
312,Greater Accra,Accra Metropolitan,Owusu Medical Centre,Clinic,Alajo (ask at Faith medical centre for direction),Private,5.59796,-0.21905,Ghana
313,Greater Accra,Tema Metropolitan,Port Health,Clinic,Tema,Private,5.63433,0.00461,Ghana
314,Greater Accra,Tema Metropolitan,Port Medical Centre,Hospital,Tema Community 1,Private,5.64266,0.00126,Ghana
315,Greater Accra,Tema Metropolitan,Port Dental Clinic,Clinic,Tema Community 1,Private,5.64266,0.00126,Ghana
316,Greater Accra,Tema Metropolitan,Nyamebetyere Maternity Home,Maternity Home,Ashaiman Lebanon,Private,5.70281,-0.04369,Ghana
317,Greater Accra,Accra Metropolitan,Opec Clinic (Teshie Health Centre),Clinic,Teshie,Government,5.6021,-0.11996,Ghana
318,Greater Accra,Accra Metropolitan,Nyameadom Maternity Clinic,Maternity Home,Dansoman (before sahara),Private,5.55206,-0.26433,Ghana
319,Greater Accra,Ga West,Obom Health Centre,Health Centre,Obom,Private,5.7357,-0.43974,Ghana
320,Greater Accra,Ga West,Oduman Health Centre,Health Centre,Oduman,Government,5.64171,-0.33028,Ghana
321,Greater Accra,Accra Metropolitan,Okai Koi Sub Metro Health Directorate,District Health Centre,Kaneshie,Private,5.57442,-0.23082,Ghana
322,Greater Accra,Dangme West,Old Ningo Health Centre (Present site),Health Centre,Old Ningo,Private,5.75161,0.18647,Ghana
323,Greater Accra,Dangme West,Old Ningo Health Centre (New site),Health Centre,Old Ningo,Government,5.75161,0.18647,Ghana
324,Greater Accra,Dangme West,Osuwem Community Based Clinic (Old site),Clinic,Osuwem,Private,6.03666,0.17579,Ghana
325,Greater Accra,Tema Metropolitan,Oyibi Health Centre,Health Centre,Oyibi,Private,5.80615,-0.10773,Ghana
326,Greater Accra,Tema Metropolitan,Oyoko Clinic,Clinic,Adenta Estate,Private,5.70397,-0.15236,Ghana
327,Greater Accra,Ga East,Pantang Hospital,Hospital,Pantang,Private,5.71511,-0.18802,Ghana
328,Greater Accra,Ga East,Pantang Nurses Training College,Institutional Health Centre,Pantang,Private,5.71554,-0.18749,Ghana
329,Greater Accra,Accra Metropolitan,Parliament Clinic,Clinic,Osu,Government,5.55668,-0.19011,Ghana
330,Greater Accra,Accra Metropolitan,Peace Clinic,Clinic,Mataheko,Private,5.59595,-0.24739,Ghana
331,Greater Accra,Dangme East,Pediator Kope Health Centre,Health Centre,Pediator Kope,Private,5.82202,0.62849,Ghana
332,Greater Accra,Accra Metropolitan,Peoga Maternity Home,Maternity Home,Nungua,Private,5.6189,-0.08294,Ghana
333,Greater Accra,Accra Metropolitan,PML Hospital,Hospital,Paladium,Private,5.5446,-0.21302,Ghana
334,Greater Accra,Accra Metropolitan,Police Hospital,Hospital,Cantoments,Private,5.56835,-0.18145,Ghana
335,Greater Accra,Accra Metropolitan,PPAG Clinic,Clinic,Lartebiokoshie,NGO,5.55042,-0.24156,Ghana
336,Greater Accra,Dangme West,PPAG Dodowa,Clinic,Dodowa,Private,5.8809,-0.10713,Ghana
337,Greater Accra,Dangme West,Prampram Health Centre,Health Centre,Prampram,Private,5.71177,0.11002,Ghana
338,Greater Accra,Tema Metropolitan,Prilway Specialist Clinic & Labolatory,Clinic,Baba Yara (Madina),Private,5.68551,-0.1571,Ghana
339,Greater Accra,Accra Metropolitan,Prince of Peace Maternity Home & Clinic,Maternity Home,Fadama,Private,5.59935,-0.24462,Ghana
340,Greater Accra,Accra Metropolitan,Queen's Medical Centre,Hospital,Kokomlemle,Private,5.57571,-0.20762,Ghana
341,Greater Accra,Tema Metropolitan,St Peter's Clinic,Clinic,Tema Community 4,Private,5.6586,-0.0052,Ghana
342,Greater Accra,Accra Metropolitan,Sunrise Clinic,Clinic,Kaneshie (near mkt),Private,5.56811,-0.24051,Ghana
343,Greater Accra,Accra Metropolitan,Tooth Home Clinic,Clinic,Nima (near Police station),Private,5.57506,-0.20084,Ghana
344,Greater Accra,Tema Metropolitan,St Minas Clinic,Clinic,Ashaima,Private,5.69411,-0.0279,Ghana
345,Greater Accra,Ga East,Taifa Medical Centre,Hospital,Taifa,Private,5.6576,-0.25345,Ghana
346,Greater Accra,Accra Metropolitan,Purswani Memorial Clinic,Clinic,Asylum Down,Private,5.56932,-0.20479,Ghana
347,Greater Accra,Tema Metropolitan,RCI Mission Clinic,Clinic,Amrahia,Private,5.76845,-0.14182,Ghana
348,Greater Accra,Accra Metropolitan,St Louis Memorial Clinic,Clinic,Nima,Private,5.58289,-0.20117,Ghana
349,Greater Accra,Tema Metropolitan,Tema Naval Base Clinic,Clinic,Tema New Town,Private,5.64838,0.02257,Ghana
350,Greater Accra,Tema Metropolitan,Universal Bethesda Clinic,Clinic,Ashalebotwe,Private,5.6856,-0.13769,Ghana
351,Greater Accra,Accra Metropolitan,Korle-Bu School of Hygiene,Institutional Health Centre,Korle-Bu,Private,5.53823,-0.2329,Ghana
352,Greater Accra,Tema Metropolitan,St Florence Clinic,Clinic,Ashaiman,Private,5.68808,-0.03285,Ghana
353,Greater Accra,Tema Metropolitan,St Mary's Maternity Home,Maternity Home,Tema Community 7,Private,5.65991,-0.01244,Ghana
354,Greater Accra,Accra Metropolitan,Ussher Polyclinic,Polyclinic,James Town,Private,5.54038,-0.21294,Ghana
355,Greater Accra,Tema Metropolitan,Provita Specialist Hospital,Hospital,Tema Community 6,Private,5.65216,-0.0198,Ghana
356,Greater Accra,Accra Metropolitan,Rabito Clinic,Clinic,Osu,Private,5.56549,-0.18028,Ghana
357,Greater Accra,Tema Metropolitan,Rabito Clinic,Clinic,Tema Community 2,Private,5.6288,-0.01819,Ghana
358,Greater Accra,Tema Metropolitan,Raphel Clinic (Old site),Clinic,Tema Community 1,Private,5.64655,-0.00772,Ghana
359,Greater Accra,Tema Metropolitan,Raphel Clinc (New Site),Clinic,Tema Community 10,Private,5.64655,-0.00772,Ghana
360,Greater Accra,Tema Metropolitan,Raphel Medical Centre,Health Centre,UnIdentified,Private,5.64655,-0.00772,Ghana
361,Greater Accra,Tema Metropolitan,RCI Mission Clinic,Clinic,Amrahia,Private,5.76845,-0.14182,Ghana
362,Greater Accra,Ga West,Redeemer's Mission Clinic,Clinic,Pokuase,NGO,5.68863,-0.28584,Ghana
363,Greater Accra,Accra Metropolitan,Rehoboth Maternity Home,Maternity Home,Darkuman,Private,5.58754,-0.25108,Ghana
364,Greater Accra,Accra Metropolitan,Richmond Clinic,Clinic,Zongo (near night mkt),Private,5.55509,-0.23564,Ghana
365,Greater Accra,Accra Metropolitan,Ridge Hospital,Hospital,Ridge,Government,5.56238,-0.1987,Ghana
366,Greater Accra,Tema Metropolitan,Robert Martin Memorial Clinic,Clinic,Ashalebotwe,Private,5.67904,-0.14148,Ghana
367,Greater Accra,Accra Metropolitan,Rose Clinic,Clinic,Russia,Private,5.55656,-0.25719,Ghana
368,Greater Accra,Accra Metropolitan,Rosina Memorial Clinic,Clinic,Abofu (Achimota),Private,5.61416,-0.2263,Ghana
369,Greater Accra,Tema Metropolitan,Sab Dental Clinic,Clinic,Tema Community 2,Private,5.63467,-0.01416,Ghana
370,Greater Accra,Tema Metropolitan,Sakumono Community Clinic,Hospital,Sakumano Estate,Private,5.62224,-0.06281,Ghana
371,Greater Accra,Accra Metropolitan,Salvation Army Urban Aid Clinic,Hospital,Maamobi (near market),Private,5.5947,-0.19169,Ghana
372,Greater Accra,Ga West,Samala Clinic,Clinic,Mallam,Private,5.57728,-0.30004,Ghana
373,Greater Accra,Accra Metropolitan,Sape Agbo Memorial Hospital,Hospital,New Town,Private,5.59232,-0.20804,Ghana
374,Greater Accra,Ga West,Savans Clinic & Maternity Home,Clinic,Weija,Private,5.5745,-0.33829,Ghana
375,Greater Accra,Accra Metropolitan,Korle-Bu School of Medical Laboratory Technology,Institutional Health Centre,Korle-Bu,Private,5.53885,-0.22915,Ghana
376,Greater Accra,Accra Metropolitan,Korle-Bu School of Radiology,Institutional Health Centre,Korle-Bu,Private,5.53764,-0.22591,Ghana
377,Greater Accra,Dangme East,Sege Health Centre,Health Centre,Sege,Government,5.87531,0.36137,Ghana
378,Greater Accra,Accra Metropolitan,Shwectzer Clinic,Clinic,Accra,Private,5.54502,-0.20823,Ghana
379,Greater Accra,Accra Metropolitan,SIC Bob Freeman Clinic,Hospital,Adabraka (near Goil headoffice),Private,5.55408,-0.20889,Ghana
380,Greater Accra,Tema Metropolitan,SIC Bob Freeman Clinic,Hospital,Adabraka (near Goil headoffice),Private,5.55408,-0.20889,Ghana
381,Greater Accra,Tema Metropolitan,Sinel Specialist Hospital,Clinic,Tema Community 10,Private,5.65612,-0.01481,Ghana
382,Greater Accra,Tema Metropolitan,Skin Clinic,Clinic,Tema Community 1,Private,5.65159,-0.00502,Ghana
383,Greater Accra,Tema Metropolitan,Solace Medical Certical Centre,Health Centre,Ashaiman Community 12,Private,5.67782,-0.02954,Ghana
384,Greater Accra,Accra Metropolitan,Specialist Hospital & Family Planning Centre,Hospital,Dansoman (SSNIT flats),Private,5.56507,-0.27309,Ghana
385,Greater Accra,Tema Metropolitan,SSNIT Clinic,Clinic,Tema Community 2,Private,5.6333,-0.01261,Ghana
386,Greater Accra,Dangme West,St Andrews Catholic Clinic,Clinic,Kordiabe,NGO,5.92528,0.01798,Ghana
387,Greater Accra,Accra Metropolitan,St Andrews Clinic,Clinic,Adabraka (near NCR Offices & cinema area),Private,5.55852,-0.21337,Ghana
388,Greater Accra,Accra Metropolitan,St Andrews Clinic,Clinic,Roman Ridge,Private,5.55852,-0.21337,Ghana
389,Greater Accra,Tema Metropolitan,St Anthony's Clinic,Hospital,Tema Community 1,Private,5.64954,-0.00299,Ghana
390,Greater Accra,Accra Metropolitan,St Bernard Eye Clinic,Clinic,Kokomlemle,Private,5.57409,-0.20761,Ghana
391,Greater Accra,Tema Metropolitan,St Georges Family Clinic,Clinic,Adenta,Private,5.70263,-0.17056,Ghana
392,Greater Accra,Accra Metropolitan,St Gloria's Clinic & Maternity Home,Clinic,Agege (Karikari area),Private,5.53191,-0.26233,Ghana
393,Greater Accra,Tema Metropolitan,St John's Clinic,Clinic,Tema Manhean,Private,5.65665,0.02827,Ghana
394,Greater Accra,Accra Metropolitan,St Luke's Clinic,Clinic,Airport residential area,Private,5.6144,-0.17776,Ghana
395,Greater Accra,Accra Metropolitan,St Martin's Clinic,Clinic,Nima (near gutter ),Private,5.58812,-0.19819,Ghana
396,Greater Accra,Accra Metropolitan,St Mathew's Clinic,Hospital,New Achimota (mile 7),Private,5.63286,-0.24057,Ghana
397,Greater Accra,Accra Metropolitan,St Maurice Maternity Home,Maternity Home,La,Private,5.56542,-0.14468,Ghana
398,Greater Accra,Tema Metropolitan,St Nicholas Hospital,Hospital,Tema Community 5,Private,5.64811,-0.01317,Ghana
399,Greater Accra,Tema Metropolitan,Stadium Clinic,Clinic,Osu,Private,5.55119,-0.19382,Ghana
400,Greater Accra,Ga West,Stand Firm Maternity Home,Maternity Home,Pokuase,Private,5.69443,-0.28026,Ghana
401,Greater Accra,Ga East,Star Clinic,Clinic,Taifa,Private,5.66222,-0.24995,Ghana
402,Greater Accra,Accra Metropolitan,Sulemana Memorial Hospital Ltd (formerly Islamic Foundation Clinic),Hospital,Maamobi,Private,5.59448,-0.19546,Ghana
403,Greater Accra,Tema Metropolitan,Sulemana Memorial Hospital Ltd (formerly Islamic Foundation Clinic),Hospital,Maamobi,Private,5.59448,-0.19546,Ghana
404,Greater Accra,Tema Metropolitan,Sunrise Clinic,Clinic,Kaneshie (near mkt),Private,5.56811,-0.24051,Ghana
405,Greater Accra,Accra Metropolitan,Su-san Clinic,Clinic,Sukura,Private,5.55731,-0.24679,Ghana
406,Greater Accra,Accra Metropolitan,Swan Clinic,Clinic,Adenta,Private,5.6896,-0.17322,Ghana
407,Greater Accra,Tema Metropolitan,Swan Clinic,Clinic,Osu,Private,5.55438,-0.17184,Ghana
408,Greater Accra,Tema Metropolitan,Swan Clinic,Clinic,Osu,Private,5.55438,-0.17184,Ghana
409,Greater Accra,Tema Metropolitan,Swan Clinic,Clinic,Adenta,Private,5.6896,-0.17322,Ghana
410,Greater Accra,Ga West,Taifa Station Clinic Annex (Theatre Only),Clinic,Taifa,Private,5.65709,-0.25137,Ghana
411,Greater Accra,Accra Metropolitan,Tee's Maternity Home,Maternity Home,La,Private,5.57194,-0.14955,Ghana
412,Greater Accra,Tema Metropolitan,Tema Christian Eye Clinic,Clinic,Tema Community 1,Private,5.64565,-0.00911,Ghana
413,Greater Accra,Tema Metropolitan,Tema Municipal Health Directorate,District Health Centre,Tema Community 1,Government,5.63979,-0.00893,Ghana
414,Greater Accra,Tema Metropolitan,Tema General Hospital,Hospital,Tema,Private,5.67387,-0.02496,Ghana
415,Greater Accra,Tema Metropolitan,Tema Manhean Health Centre,Health Centre,Tema Manhean,Private,5.64783,0.02428,Ghana
416,Greater Accra,Tema Metropolitan,Tema Oil Refinary Clinic,Clinic,Tema Heavy Industrial Town,Private,5.66575,0.00578,Ghana
417,Greater Accra,Tema Metropolitan,Tema Polyclinic,Polyclinic,Tema Community 2,Private,5.63556,-0.00667,Ghana
418,Greater Accra,Tema Metropolitan,Tema Women's Hospital,Hospital,Tema Community 10,Private,5.6656,-0.01902,Ghana
419,Greater Accra,Accra Metropolitan,Teshie Community Clinic,Clinic,Teshie,Government,5.57696,-0.10644,Ghana
420,Greater Accra,Tema Metropolitan,The Achimota Clinic,Clinic,Mile 7 (New Achimota),Private,5.6293,-0.24781,Ghana
421,Greater Accra,Accra Metropolitan,The Clinic,Clinic,Zongo junction,Private,5.5575,-0.24081,Ghana
422,Greater Accra,Accra Metropolitan,The Finger of God Maternity Home,Maternity Home,Teshie,Private,5.57678,-0.10985,Ghana
423,Greater Accra,Tema Metropolitan,The Healing Star Clinic,Clinic,Tema,Private,5.69591,-0.01348,Ghana
424,Greater Accra,Accra Metropolitan,The King & 1 Eye Clinic,Clinic,East Legon (before America house road),Private,5.64521,-0.15377,Ghana
425,Greater Accra,Accra Metropolitan,The Oak Street Clinic,Clinic,Teshie/Nungua,Private,5.59062,-0.09922,Ghana
426,Greater Accra,Accra Metropolitan,The Rock Hospital,Hospital,Odorkor,Private,5.58483,-0.2627,Ghana
427,Greater Accra,Tema Metropolitan,The Tema Clinic (West End Specialist Clinic),Clinic,Tema Community 2,Private,5.62477,-0.01911,Ghana
428,Greater Accra,Ga West,Trinity Clinic,Clinic,Santamaria,Private,5.6028,-0.3713,Ghana
429,Greater Accra,Accra Metropolitan,Trust Hospital (SSNIT Hospital),Hospital,Osu,Government,5.56244,-0.18174,Ghana
430,Greater Accra,Accra Metropolitan,TUC Clinic,Clinic,Adabraka,Government,5.5555,-0.20495,Ghana
431,Greater Accra,Accra Metropolitan,Unicorn Memorial Clinic,Hospital,Teshie,Private,5.57818,-0.11181,Ghana
432,Greater Accra,Tema Metropolitan,Unilever Clinic,Clinic,Tema Fishing Habour,Private,5.64468,0.00887,Ghana
433,Greater Accra,Accra Metropolitan,University Hospital (Legon Hospital),Hospital,Legon,Private,5.65141,-0.17794,Ghana
434,Greater Accra,Accra Metropolitan,University of Ghana Medical School,Institutional Health Centre,Korle-Bu,Government,5.53857,-0.22933,Ghana
435,Greater Accra,Tema Metropolitan,Urban Health Centre,Clinic,Ashaiman Lebanon,Private,5.70798,-0.04613,Ghana
436,Greater Accra,Tema Metropolitan,Valco Hospital,Hospital,Tema Heavy Industrial Town,Private,5.66886,0.03468,Ghana
437,Greater Accra,Accra Metropolitan,Vicon Specialist Hospital / Mat home,Hospital,Dansoman (Sahara),Private,5.5518,-0.26671,Ghana
438,Greater Accra,Accra Metropolitan,Vic's Maternity Home,Maternity Home,New Town,Private,5.58422,-0.20776,Ghana
439,Greater Accra,Accra Metropolitan,Victor's Maternity & Child Health Clinic,Maternity Home,Bubuashie,Private,5.52873,-0.23366,Ghana
440,Greater Accra,Tema Metropolitan,Voice of the Lord Maternity Home & Clinic,Clinic,Lashibi,Private,5.66461,-0.04978,Ghana
441,Greater Accra,Tema Metropolitan,Volta Clinic,Clinic,Nima,Private,5.58654,-0.19724,Ghana
442,Greater Accra,Accra Metropolitan,VRA Clinic,Clinic,Osu,Private,5.55437,-0.18078,Ghana
443,Greater Accra,Ga East,We Care Medical centre,Clinic,Madina,Private,5.67844,-0.17433,Ghana
444,Greater Accra,Tema Metropolitan,White Eagle Clinic,Clinic,Sakumano Estate,Private,5.6242,-0.06929,Ghana
445,Greater Accra,Accra Metropolitan,White House Clinic,Clinic,Dansoman (Ebenezer rd),Private,5.5362,-0.26569,Ghana
446,Greater Accra,Accra Metropolitan,Zoti Clinic,Clinic,Lartebiokorshie (opposite hope sch),Private,5.54648,-0.23049,Ghana
447,Greater Accra,Accra Metropolitan,Memorial Clinic,Clinic,5th Bank Lane (Near Bank of Ghana),Private,5.580728,-0.210467,Ghana
448,Greater Accra,Accra Metropolitan,James Camp Borstral Clinic,Clinic,Roman Ridge,Private,5.580728,-0.210467,Ghana
449,Greater Accra,Accra Metropolitan,Joana Clinic,Clinic,Kokomlemle,Private,5.580728,-0.210467,Ghana
450,Greater Accra,Accra Metropolitan,Twumasi-Waah Memorial Hospital,Hospital,East Legon (before America house road),Private,5.580728,-0.210467,Ghana
451,Greater Accra,Accra Metropolitan,Eye Link,Clinic,Abelenkpe,Private,5.580728,-0.210467,Ghana
452,Greater Accra,Accra Metropolitan,Save the Nation Sight,Clinic,Atraco,Private,5.580728,-0.210467,Ghana
453,Greater Accra,Accra Metropolitan,Family Health Ltd.,Hospital,Teshie,Private,5.580728,-0.210467,Ghana
454,Greater Accra,Accra Metropolitan,Dental Clinic,Clinic,Teshie/Nungua Estate (branch off at A-Life junction),Private,5.580728,-0.210467,Ghana
455,Greater Accra,Accra Metropolitan,North Labone Dental Clinic,Clinic,North Labone,Private,5.580728,-0.210467,Ghana
456,Greater Accra,Accra Metropolitan,S & S Medical Centre,Clinic,Labadi,Private,5.580728,-0.210467,Ghana
457,Greater Accra,Accra Metropolitan,Philips Clinic,Clinic,Airport,Private,5.580728,-0.210467,Ghana
458,Greater Accra,Accra Metropolitan,Teshie Health Assistants Training School,Institutional Health Centre,Teshie,Government,5.580728,-0.210467,Ghana
459,Greater Accra,Accra Metropolitan,C & J Medicare,Hospital,Tudu,Private,5.580728,-0.210467,Ghana
460,Greater Accra,Accra Metropolitan,Charisma Dental Clinic,Clinic,Osu (Oxford Street),Private,5.580728,-0.210467,Ghana
461,Greater Accra,Accra Metropolitan,Nuffield Clinic,Clinic,Osu RE,Private,5.580728,-0.210467,Ghana
462,Greater Accra,Accra Metropolitan,Executive Health Care Unit,Clinic,Ringway Estate (Angola Rd.),Private,5.580728,-0.210467,Ghana
463,Greater Accra,Accra Metropolitan,Spaes Dental Clinic,Clinic,Ringway Estate,Private,5.580728,-0.210467,Ghana
